shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,37.14926534992788,-3.605020219356345,20088
2,37.14923127582267,-3.604817153020559,20089
2,37.14922478668824,-3.604690523709861,20090
2,37.14922934437786,-3.604488136891757,20091
2,37.14922507270646,-3.60183173054026,20092
2,37.14922807517581,-3.60032188467128,20093
2,37.14921294432869,-3.599664196744101,20094
2,37.14922594973216,-3.598795372993138,20095
2,37.14923455880028,-3.598604332797225,20096
2,37.14927640460856,-3.598458598998626,20097
2,37.14933341294859,-3.598325414096499,20098
2,37.14938237877365,-3.598243460270224,20099
2,37.14945727362947,-3.598159214523525,20100
2,37.14957417888928,-3.598042966083352,20101
2,37.15007807435389,-3.5975295897462,20102
2,37.15058391155836,-3.597024244298253,20103
2,37.15069139713106,-3.596901589220818,20104
2,37.15076466030597,-3.596822162251936,20105
2,37.15082779939195,-3.59672300308348,20106
2,37.15088006832583,-3.596639422414893,20107
2,37.15092839851485,-3.596531641336012,20108
2,37.15130950765507,-3.595856460240239,20109
2,37.15196817289291,-3.594676654967381,20110
2,37.15221955691311,-3.594222287744305,20111
2,37.15251406140558,-3.593670418981238,20112
2,37.15285935980613,-3.59305985354256,20113
2,37.15303691076404,-3.592736969372949,20114
2,37.15308516164739,-3.592637772492988,20115
2,37.15314129761573,-3.592566530411344,20116
2,37.15319660681625,-3.592508740087937,20117
2,37.15328513182379,-3.592442691967615,20118
2,37.15341123788323,-3.59237902997148,20119
2,37.15352208475377,-3.592370584320941,20120
2,37.15360594319971,-3.592372836540761,20121
2,37.15369604639983,-3.592391120828335,20122
2,37.15378033310547,-3.592433146216135,20123
2,37.15387861265024,-3.592494026708483,20124
2,37.15400855685724,-3.592621132308188,20125
2,37.1542112174098,-3.59280224546559,20126
2,37.15446755890111,-3.59304243792721,20127
2,37.15460466418894,-3.593146842125476,20128
2,37.15484490299885,-3.593323116392969,20129
2,37.15505544210058,-3.593467057220926,20130
2,37.15559907609142,-3.593836997148717,20131
2,37.15586306997356,-3.594015145521601,20132
2,37.15599802181044,-3.594099355533414,20133
2,37.15613627803041,-3.59420616863267,20134
2,37.15650978596153,-3.594504450560887,20135
2,37.15709567536216,-3.59501569365027,20136
2,37.15728241244684,-3.595157356662611,20137
2,37.15740228868788,-3.595250350572173,20138
2,37.1575387649458,-3.595356160833636,20139
2,37.15763073943487,-3.595414599068537,20140
2,37.1577417518022,-3.595448559681299,20141
2,37.15784708754296,-3.595455007499898,20142
2,37.15792310080827,-3.595451449349074,20143
2,37.15869863133626,-3.595401432288061,20144
2,37.15892208844331,-3.595372458853929,20145
2,37.1591393976806,-3.595356523897685,20146
2,37.15931876338987,-3.59532346805696,20147
2,37.1595363039803,-3.595289145124254,20148
2,37.15982493531815,-3.595216276803197,20149
2,37.16019897516419,-3.59511158685101,20150
2,37.1603379996063,-3.595076277752694,20151
2,37.16041001585371,-3.5950941435699,20152
2,37.16049626302761,-3.595166520817216,20153
2,37.16054071967541,-3.595264664664075,20154
2,37.1605854645649,-3.595363038436633,20155
2,37.16064281329989,-3.595837293322886,20156
2,37.16074120410936,-3.596626964073875,20157
2,37.16105932312483,-3.59904944845221,20158
2,37.16113398883962,-3.599630243946068,20159
2,37.16122376100498,-3.599982262972547,20160
2,37.16134910739778,-3.600259823825098,20161
2,37.16153661097341,-3.600522200645249,20162
2,37.16173617073797,-3.600715761214271,20163
2,37.16194517904933,-3.600855981158807,20164
2,37.16220905547429,-3.601005453212981,20165
2,37.16252821407991,-3.601201824755298,20166
2,37.16286018942274,-3.601395113096361,20167
2,37.16312794272077,-3.601574689731923,20168
2,37.16331089671017,-3.601672745867564,20169
2,37.16352892373067,-3.601775089716109,20170
2,37.16504352342447,-3.602741592356869,20171
2,37.16587764230737,-3.603237013945403,20172
2,37.16789473850208,-3.604453223252218,20173
2,37.16987087749786,-3.605638062088391,20174
2,37.17040349183424,-3.605981047567109,20175
2,37.17134526262083,-3.606586736322121,20176
2,37.17296913327767,-3.607593050020181,20177
2,37.17431028038089,-3.60844767890772,20178
2,37.17564694235813,-3.609237661988161,20179
2,37.1774235736712,-3.610356711946969,20180
2,37.17758293075963,-3.610435121877248,20181
2,37.17771636970166,-3.610460917673367,20182
2,37.17785344438323,-3.610471096975099,20183
2,37.1779463426109,-3.610388743940527,20184
2,37.17801440686776,-3.610260796988584,20185
2,37.17819376801698,-3.609830863270976,20186
2,37.17838352821281,-3.609539018643732,20187
2,37.17908083164167,-3.608699358497589,20188
2,37.17954137739869,-3.608153708587544,20189
2,37.17969131137141,-3.607974545476347,20190
2,37.17976238832427,-3.607894030853358,20191
2,37.17986491172381,-3.607809282970826,20192
2,37.17996643395741,-3.607784152351741,20193
2,37.18005859653883,-3.607767872122246,20194
2,37.18012728280056,-3.607770525743429,20195
2,37.18019072397451,-3.607790872453086,20196
2,37.18026229383678,-3.607812513308134,20197
2,37.18031799919301,-3.607867714247054,20198
2,37.18041454646739,-3.60796558855828,20199
2,37.18048208170291,-3.608063442526428,20200
2,37.18056400059684,-3.608165246565327,20201
2,37.18068066487702,-3.608318000716485,20202
2,37.18077388947171,-3.608449626630483,20203
2,37.18092284414191,-3.6086650253547,20204
2,37.18103204374548,-3.608791971017322,20205
