stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
13c79832-110f-46ba-a84d-f14068e0d542,199,Francisco Ayala 16 - Luis Amador,,37.1917133,-3.6154511,,,0,,,2,
0474e18c-6438-4254-85cd-92384416ab4f,201,Francisco Ayala 34,,37.1935546,-3.6171074,,,0,,,2,
36800804-d5a8-4e83-a214-1189f764609e,202,Francisco Ayala 62,,37.1952205,-3.6191507,,,0,,,2,
070e887b-f159-4d7c-8eee-ed5adc6f575c,203,Francisco Ayala 81,,37.1951127,-3.6191903,,,0,,,2,
b4ffc3e2-0090-4319-9ccf-5f7b8f0fada4,205,Avda. Maracena 152,,37.2036395,-3.6266864,,,0,,,2,
8dbb1bba-76d1-4cf3-bb7c-bf5ab568591a,206,Avda. Maracena 133,,37.2030101,-3.6263112,,,0,,,2,
2d877a35-1b82-46a8-a65f-0c942f53c837,207,Avda. Pulianas 11,,37.1894119,-3.6037248,,,0,,,2,
cf741a7b-484b-4399-8bf7-9257d04f819c,209,Avda. Pulianas 9,,37.1926911,-3.6041984,,,0,,,2,
b53a1cae-1197-41ba-bbcf-76b5e5a08ad9,210,Avda. Pulianas 60,,37.1968902,-3.6041232,,,0,,,2,
515287ca-6043-486e-811a-f83e9d531824,211,Avda. Pulianas 63,,37.1962843,-3.604315,,,0,,,2,
c224420d-786d-4a8f-b908-e500c7bcf299,213,Pedro Machuca 7,,37.2019244,-3.6057763,,,0,,,2,
74940fdb-b343-43b4-acb6-8d49bc0170a4,214,Pedro Machuca 32,,37.2052607,-3.6078662,,,0,,,2,
887d3800-a41e-4a6b-91f1-67037050d42b,215,Pedro Machuca 23,,37.2052308,-3.6079251,,,0,,,2,
2b76bef9-aab3-40fd-a9dd-34410d30310d,216,Pedro Machuca 78,,37.2069783,-3.6090517,,,0,,,2,
f4864369-f56f-4cb0-a455-7a0484064a7a,217,Pedro Machuca - IES La Paz,,37.2069058,-3.6091,,,0,,,2,
ef3209f0-6222-4bb4-8112-3b6a66854707,218,Pedro Machuca Fte 33,,37.2102168,-3.6098512,,,0,,,2,
0073ade6-6d41-4dae-8d32-2af71534af81,219,Beethoven - Fte IES Alhambra,,37.1567852,-3.6030703,,,0,,,2,
a8685d3e-2d6b-4a9a-9721-3bd1afd9d46d,220,Barriada Bobadilla,,37.1917418,-3.6438828,,,0,,,2,
cfa8fa45-8ec7-426e-bc91-045bf802257a,221,Hoya de la Mora 3,,37.1614851,-3.586049,,,0,,,2,
7776b864-d75e-4072-9a88-25bd57083b72,222,Hoya de la Mora 2,,37.1613241,-3.5864264,,,0,,,2,
39cb6b04-aa6b-412f-a612-29fd68e7f40f,224,Cno Bajo de Huetor 82,,37.1584502,-3.5882334,,,0,,,2,
bab7bcfb-c484-42b6-9c90-00f76ae3814c,225,Cno. Bajo de Huétor 59,,37.1581357,-3.5878415,,,0,,,2,
11b3b2a8-65dd-428a-9850-ffbc638a6b32,226,Cno. Bajo de Huétor 83,,37.1564434,-3.586196,,,0,,,2,
9fedd484-b849-4928-8c15-c63c7cfb2b68,228,Neptuno 5,,37.1698135,-3.606436,,,0,,,2,
bb154421-2687-4787-a391-2a6fd7c1a8ef,229,Neptuno - Centro Comercial,,37.1689606,-3.60778,,,0,,,2,
5a655036-5c14-44c5-97fa-b7122a73631c,231,Calle Iznajar V,,37.2043524,-3.6138811,,,0,,,2,
