service_id,date,exception_type
1_880_1290_6_425_3,20261102,1
1_880_1290_6_425_3,20261207,1
1_880_1290_6_425_3,20261208,1
1_880_1290_6_425_3,20261225,1
1_880_1290_6_425_3,20260422,1
1_880_1290_6_425_3,20260604,1
1_880_1290_6_427_3,20260101,1
1_880_1290_6_427_3,20260106,1
1_880_1290_6_427_3,20260228,1
1_880_1290_6_427_3,20260402,1
1_880_1290_6_427_3,20260403,1
1_880_1290_6_427_3,20260501,1
1_880_1290_6_427_3,20260815,1
1_880_1290_6_427_3,20261212,1
1_880_1290_6_427_3,20261102,1
1_880_1290_6_427_3,20261207,1
1_880_1290_6_427_3,20261208,1
1_880_1290_6_427_3,20261225,1
1_880_1290_6_427_3,20260422,1
1_880_1290_6_427_3,20260604,1
1_880_1295_6_234_3,20260101,1
1_880_1295_6_234_3,20260106,1
1_880_1295_6_234_3,20260228,1
1_880_1295_6_234_3,20260402,1
1_880_1295_6_234_3,20260403,1
1_880_1295_6_234_3,20260501,1
1_880_1295_6_234_3,20260815,1
1_880_1295_6_234_3,20261212,1
1_880_1295_6_234_3,20261102,1
1_880_1295_6_234_3,20261207,1
1_880_1295_6_234_3,20261208,1
1_880_1295_6_234_3,20261225,1
1_880_1295_6_234_3,20260422,1
1_880_1295_6_234_3,20260604,1
1_887_1301_13_308_3,20260101,1
1_887_1301_13_308_3,20260106,1
1_887_1301_13_308_3,20260228,1
1_887_1301_13_308_3,20260402,1
1_887_1301_13_308_3,20260403,1
1_887_1301_13_308_3,20260501,1
1_887_1301_13_308_3,20260815,1
1_887_1301_13_308_3,20261212,1
1_887_1301_13_308_3,20261102,1
1_887_1301_13_308_3,20261207,1
1_887_1301_13_308_3,20261208,1
1_887_1301_13_308_3,20261225,1
1_887_1301_13_308_3,20260422,1
1_887_1301_13_308_3,20260604,1
1_887_1301_13_309_3,20260101,1
1_887_1301_13_309_3,20260106,1
1_887_1301_13_309_3,20260228,1
1_887_1301_13_309_3,20260402,1
1_887_1301_13_309_3,20260403,1
1_887_1301_13_309_3,20260501,1
1_887_1301_13_309_3,20260815,1
1_887_1301_13_309_3,20261212,1
1_887_1301_13_309_3,20261102,1
1_887_1301_13_309_3,20261207,1
1_887_1301_13_309_3,20261208,1
1_887_1301_13_309_3,20261225,1
1_887_1301_13_309_3,20260422,1
1_887_1301_13_309_3,20260604,1
1_887_1304_13_314_3,20260101,1
1_887_1304_13_314_3,20260106,1
1_887_1304_13_314_3,20260228,1
1_887_1304_13_314_3,20260402,1
1_887_1304_13_314_3,20260403,1
1_887_1304_13_314_3,20260501,1
1_887_1304_13_314_3,20260815,1
1_887_1304_13_314_3,20261212,1
1_887_1304_13_314_3,20261102,1
1_887_1304_13_314_3,20261207,1
1_887_1304_13_314_3,20261208,1
1_887_1304_13_314_3,20261225,1
1_887_1304_13_314_3,20260422,1
1_887_1304_13_314_3,20260604,1
1_890_1484_10_286_13,20260101,1
1_890_1484_10_286_13,20260106,1
1_890_1484_10_286_13,20260228,1
1_890_1484_10_286_13,20260402,1
1_890_1484_10_286_13,20260403,1
1_890_1484_10_286_13,20260501,1
1_890_1484_10_286_13,20260815,1
1_890_1484_10_286_13,20261212,1
1_890_1484_10_286_13,20261102,1
1_890_1484_10_286_13,20261207,1
1_890_1484_10_286_13,20261208,1
1_890_1484_10_286_13,20261225,1
1_890_1484_10_286_13,20260422,1
1_890_1484_10_286_13,20260604,1
1_890_1526_10_279_3,20260101,1
1_890_1526_10_279_3,20260106,1
1_890_1526_10_279_3,20260228,1
1_890_1526_10_279_3,20260402,1
1_890_1526_10_279_3,20260403,1
1_890_1526_10_279_3,20260501,1
1_890_1526_10_279_3,20260815,1
1_890_1526_10_279_3,20261212,1
1_890_1526_10_279_3,20261102,1
1_890_1526_10_279_3,20261207,1
1_890_1526_10_279_3,20261208,1
1_890_1526_10_279_3,20261225,1
